,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,40.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0
1,40.0,25.07271,19.2181,16.50892,15.0687,14.22388,13.69988,13.37133,13.17589,13.08131,13.07177,13.14201,13.29538,13.54444,13.9144,14.45135,15.24084,16.45199,18.4525,22.14177,30.02292,50.0
2,40.0,31.07281,25.29094,21.74912,19.54231,18.12732,17.20477,16.61005,16.25144,16.07815,16.06433,16.20146,16.49564,16.96853,17.6623,18.6506,20.06042,22.11496,25.21649,30.09185,37.95,50.0
3,40.0,33.92778,29.12406,25.6548,23.22473,21.53909,20.38269,19.61365,19.14274,18.91663,18.90707,19.105,19.51829,20.17279,21.11667,22.42925,24.23605,26.73158,30.20714,35.05946,41.68542,50.0
4,40.0,35.51447,31.62322,28.52201,26.16368,24.42274,23.17458,22.32055,21.79079,21.54019,21.54401,21.79485,22.30139,23.08925,24.20379,25.715,27.7241,30.36914,33.82178,38.25393,43.73247,50.0
5,40.0,36.50721,33.33298,30.64728,28.48643,26.8151,25.57401,24.70509,24.16169,23.91144,23.93613,24.23117,24.80529,25.68108,26.89614,28.5046,30.5777,33.20035,36.45787,40.40266,44.99087,50.0
6,40.0,37.18176,34.55498,32.24885,30.32114,28.779,27.60333,26.76637,26.24192,26.01031,26.06052,26.39103,27.01013,27.93612,29.19738,30.83166,32.88356,35.39818,38.40784,41.90874,45.82876,50.0
7,40.0,37.66531,35.45723,33.47329,31.77198,30.3785,29.29629,28.51775,28.03213,27.83032,27.90767,28.26537,28.91104,29.85873,31.12827,32.74349,34.72878,37.10273,39.8679,42.99663,46.4159,50.0
8,40.0,38.02275,36.13632,34.41654,32.91686,31.66903,30.6882,29.97915,29.54166,29.37446,29.47783,29.85511,30.51324,31.46268,32.71642,34.28791,36.18766,38.41799,40.9659,43.79497,46.83871,50.0
9,40.0,38.2899,36.64984,35.14127,33.81194,32.69501,31.81117,31.17214,30.78428,30.65157,30.77775,31.16763,31.82769,32.76575,33.99,35.50695,37.31849,39.41775,41.78435,44.37973,47.14452,50.0
10,40.0,38.48759,37.03298,35.68839,34.49676,33.4905,32.69229,32.11725,31.77532,31.67354,31.81777,32.21383,32.86789,33.78624,34.97421,36.43443,38.16422,40.15236,42.37569,44.79624,47.36021,50.0
11,40.0,38.62807,37.30723,36.08424,34.99843,34.08057,33.35331,32.83265,32.52986,32.45331,32.60989,33.00595,33.64767,34.54078,35.68961,37.09545,38.75429,40.65402,42.77154,45.0705,47.50069,50.0
12,40.0,38.71804,37.48481,36.34459,35.33434,34.48273,33.8108,33.33358,33.06184,33.00381,33.16646,33.55635,34.17993,35.04331,36.15144,37.50659,39.1062,40.94015,42.98767,45.2147,47.57266,50.0
13,40.0,38.75985,37.57049,36.47665,35.51379,34.7078,34.0766,33.63237,33.3837,33.3374,33.49967,33.87694,34.47618,35.30473,36.36963,37.67631,39.22644,41.01492,43.02601,45.22913,47.57581,50.0
14,40.0,38.75144,37.56172,36.47932,35.53844,34.7606,34.15832,33.73878,33.50666,33.46604,33.62158,33.97928,34.54676,35.33327,36.34929,37.60551,39.11088,40.8692,42.87394,45.10112,47.50203,50.0
15,40.0,38.68469,37.44666,36.34196,35.40199,34.64019,34.05998,33.66076,33.44134,33.40188,33.5448,33.87531,34.40169,35.13554,36.09177,37.28831,38.74474,40.47904,42.50095,44.80042,47.33169,50.0
16,40.0,38.54113,37.19918,36.0412,35.08914,34.34029,33.78311,33.40564,33.19897,33.15839,33.28357,33.5786,34.05224,34.71835,35.59668,36.7137,38.10288,39.80305,41.85178,44.26885,47.0248,50.0
17,40.0,38.28107,36.76852,35.53571,34.5746,33.85057,33.32867,32.98207,32.79305,32.7518,32.8552,33.10603,33.513,34.09151,34.8653,35.86909,37.15192,38.78007,40.83548,43.39923,46.49907,50.0
18,40.0,37.81494,36.0588,34.75948,33.82427,33.16025,32.70068,32.40289,32.24146,32.20279,32.28167,32.4796,32.80446,33.27151,33.9059,34.74724,35.85721,37.33112,39.31182,41.99419,45.57259,50.0
19,40.0,36.92016,34.89275,33.61991,32.80372,32.26667,31.91229,31.68885,31.56874,31.53794,31.59086,31.72798,31.95543,32.28582,32.74109,33.35813,34.19977,35.37637,37.08728,39.69366,43.79735,50.0
20,40.0,34.97314,32.97248,32.02421,31.5047,31.19121,30.99388,30.8725,30.80781,30.79054,30.81701,30.88725,31.00461,31.17636,31.41557,31.74535,32.20817,32.888,33.96779,35.89616,39.92335,50.0
21,40.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,50.0
